? 3-RJS-745 Qi AI MIQ inter (l/h);? 3-RJS-745 PI Delta P inferior (kgf/cm²);? 3-RJS-745 PI Delta P intermediário (kgf/cm²);? 3-RJS-745 PI Delta P superior (kgf/cm²);? 3-RJS-745 Qo estimado ICV sup (m³/d);? 3-RJS-745 Qo estimado ICV int (m³/d);? 3-RJS-745 Qw (m³/d);? 3-RJS-745 Qg (m³/d)
5,061;0,109;2,277;4,005;1.420,52;2.841,03;16,591;3.000.724,63
5,056;0,11;2,27;4,022;1.394,81;2.789,62;16,591;3.000.724,63
4,994;0,078;1,576;2,412;1.369,10;2.738,20;16,591;3.000.724,63
4,853;0,077;1,537;2,436;1.343,39;2.686,78;16,591;3.000.724,63
4,903;0,075;1,525;2,439;1.317,68;2.635,36;16,591;3.000.724,63
4,819;0,077;1,517;2,445;1.291,97;2.583,94;16,591;3.000.724,63
4,844;0,075;1,499;2,456;1.266,26;2.532,53;16,591;3.000.724,63
4,892;0,079;1,525;2,431;1.240,55;2.481,11;16,591;3.000.724,63
4,926;0,066;1,514;2,445;1.214,85;2.429,69;16,591;3.000.724,63
4,922;0,076;1,516;2,441;1.189,14;2.378,27;16,591;3.000.724,63
4,95;0,075;1,507;2,447;1.195,71;2.391,43;10,902;1.570.433,37
4,911;0,075;1,511;2,443;1.214,13;2.428,27;10,902;1.570.433,37
4,858;0,075;1,507;2,436;1.232,55;2.465,11;10,902;1.570.433,37
4,867;0,075;1,51;2,449;1.250,97;2.501,95;10,902;1.570.433,37
4,806;0,075;1,509;2,445;1.269,39;2.538,78;10,902;1.570.433,37
4,788;0,074;1,508;2,448;1.287,81;2.575,62;10,902;1.570.433,37
4,835;0,074;1,508;2,438;1.306,23;2.612,46;10,902;1.570.433,37
4,862;0,076;1,505;2,448;1.324,65;2.649,30;10,902;1.570.433,37
4,808;0,075;1,507;2,439;1.343,07;2.686,14;10,902;1.570.433,37
0,012;0,014;0,03;0,063;1.361,49;2.722,98;10,902;1.570.433,37
0,01;0,012;-0,042;0,098;1.379,91;2.759,82;10,902;1.570.433,37
0,011;0,01;-0,058;0,1;1.398,33;2.796,66;10,902;1.570.433,37
0,01;0,014;0,003;0,104;1.416,75;2.833,49;10,902;1.570.433,37
4,679;0,017;-0,059;0,126;1.435,17;2.870,33;10,902;1.570.433,37
4,662;0,017;-0,025;0,123;1.453,59;2.907,17;10,902;1.570.433,37
4,722;0,015;-0,009;0,12;1.472,01;2.944,01;10,902;1.570.433,37
4,689;0,019;0,109;0,236;1.490,42;2.980,85;10,902;1.570.433,37
4,683;0,029;0,349;0,547;1.508,84;3.017,69;10,902;1.570.433,37
4,717;0,032;0,347;0,496;1.527,26;3.054,53;10,902;1.570.433,37
;;;;1.545,68;3.091,37;10,902;1.570.433,37
4,658;0,074;1,475;2,569;1.564,10;3.128,20;10,902;1.570.433,37
4,638;0,078;1,549;2,63;1.582,52;3.165,04;10,902;1.570.433,37
4,681;0,106;2,2;4,064;1.600,94;3.201,88;10,902;1.570.433,37
4,894;0,106;2,238;4,044;1.619,36;3.238,72;10,902;1.570.433,37
4,96;0,106;2,257;4,051;1.574,78;3.149,57;14,978;2.665.432,64
4,935;0,11;2,255;4,03;1.507,11;3.014,21;14,978;2.665.432,64
4,873;0,109;2,262;4,03;1.439,43;2.878,85;14,978;2.665.432,64
4,915;0,108;2,262;4,029;1.371,75;2.743,49;14,978;2.665.432,64
4,959;0,107;2,265;4,025;1.304,07;2.608,13;14,978;2.665.432,64
5,001;0,107;2,268;4,023;1.236,39;2.472,78;14,978;2.665.432,64
4,917;0,11;2,267;4,019;1.168,71;2.337,42;14,978;2.665.432,64
4,981;0,108;2,266;4,019;1.101,03;2.202,06;14,978;2.665.432,64
4,963;0,109;2,265;4,016;1.033,35;2.066,70;14,978;2.665.432,64
4,998;0,11;2,271;4,017;965,67;1.931,34;14,978;2.665.432,64
5,031;0,11;2,27;4,027;897,991;1.795,98;14,978;2.665.432,64
5,081;0,107;2,263;4,018;830,312;1.660,62;14,978;2.665.432,64
5,013;0,11;2,263;4,016;762,633;1.525,27;14,978;2.665.432,64
5,053;0,108;2,269;4,021;694,953;1.389,91;14,978;2.665.432,64
4,94;0,112;2,268;4,016;627,274;1.254,55;14,978;2.665.432,64
4,973;0,107;2,271;4,019;559,595;1.119,19;14,978;2.665.432,64
4,983;0,11;2,269;4,018;491,916;983,831;14,978;2.665.432,64
5,009;0,109;2,271;4,022;424,236;848,473;14,978;2.665.432,64
5,054;0,107;2,262;4,013;356,557;713,114;14,978;2.665.432,64
4,991;0,088;1,808;3,188;288,878;577,755;14,978;2.665.432,64
4,991;0,057;1,05;1,925;221,198;442,397;14,978;2.665.432,64
4,991;0,027;0,292;0,663;153,519;307,038;14,978;2.665.432,64
4,991;0,013;-0,046;0,101;85,84;171,68;14,978;2.665.432,64
0,009;0,013;-0,047;0,101;18,161;36,321;14,978;2.665.432,64
0,01;0,013;-0,048;0,102;0;0;0;0
0,01;0,012;-0,048;0,101;0;0;0;0
0,01;0,015;-0,048;0,102;0;0;0;0
0,01;0,014;-0,056;0,094;0;0;0;0
0,01;0,014;-0,048;0,101;0;0;0;0
0,01;0,013;-0,045;0,102;0;0;0;0
0,01;0,031;-0,019;0,102;0;0;0;0
0,01;0,008;-0,047;0,098;0;0;0;0
0,01;0,013;-0,048;0,102;0;0;0;0
0,011;0,005;-0,044;0,093;0;0;0;0
0,011;0,012;-0,049;0,107;0;0;0;0
0,01;0,014;-0,047;0,102;0;0;0;0
0,01;0,017;-0,047;0,103;0;0;0;0
0,01;0,012;-0,046;0,102;0;0;0;0
0,01;0,014;-0,05;0,102;0;0;0;0
0,011;0,017;-0,056;0,101;0;0;0;0
0,011;0,012;-0,036;0,11;0;0;0;0
0,01;0,013;-0,045;0,102;0;0;0;0
0,01;0,013;-0,045;0,101;0;0;0;0
0,011;0,016;-0,043;0,107;0;0;0;0
0,01;0,013;-0,044;0,103;0;0;0;0
0,011;0,013;-0,044;0,102;0;0;0;0
0,01;0,012;-0,044;0,102;0;0;0;0
0,011;0,013;-0,043;0,101;0;0;0;0
